Page Number,Page Content
0,"2024 -25Family
Handbook"
1,"Senior School Information  Phone: 250-592-2411, Fax: 250-592-2812
Eliot Anderson  . . . . . . . . . . . . . .  Director of Senior School, Deputy Head of School   eliot .anderson@smus  .ca 
Richard Curry   . . . . . . . . . . . . . . .  Assistant Director, Administration  . . . . . . . . . . . . . . . .   richard  .curry@smus  .ca 
Robyn Amiel   . . . . . . . . . . . . . . . .  Assistant Director, Academics  . . . . . . . . . . . . . . . . . . . .   robyn .amiel@smus  .ca 
Richard Primrose  . . . . . . . . . . .  Assistant Director, Student Life and Leadership  . . .  richard  .primrose@smus  .ca 
Laurie Erwin  . . . . . . . . . . . . . . . . .  Assistant to the Director of Senior School 
  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  and Deputy Head of School  . . . . . . . . . . . . . . . . . . . . . . . .  laurie  .erwin@smus  .ca 
Carole McMillan   . . . . . . . . . . . .  Director of Personal Counselling (K-12)  . . . . . . . . . . .  carole  .mcmillan@smus  .ca   . . . . . . . . . . . . . .  250-213-6524
Lauren Mavrikos  . . . . . . . . . . . .  School Counsellor  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  lauren .mavrikos@smus  .ca 
Chris Webster   . . . . . . . . . . . . . . .  School Counsellor   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  chris  .webster@smus  .ca 
Theresa Hogg-Jackson   . . . . School Counsellor  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .   theresa .hogg-jackson@smus  .ca 
Attendance   . . . . . . . . . . . . . . . . . .   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  srattendance@smus  .ca  . . . . . . . . . . . . . . .  250-370-6133
Middle School Information  Phone: 250-592-3549, Fax: 250-592-3942
Richard Brambley   . . . . . . . . . .  Director of Middle School   . . . . . . . . . . . . . . . . . . . . . . . . . .  richard  .brambley@smus  .ca
Julie Harris   . . . . . . . . . . . . . . . . . .  Assistant Director, Academics  . . . . . . . . . . . . . . . . . . . . . .  julie .harris@smus  .ca
Cara Lee  . . . . . . . . . . . . . . . . . . . . . .  Assistant Director, Student Life  . . . . . . . . . . . . . . . . . . . . .  cara .lee@smus  .ca
Tara Toller  . . . . . . . . . . . . . . . . . . . .  Assistant to the Director of Middle School   . . . . . . . .  tara .toller@smus  .ca
Allison Peace  . . . . . . . . . . . . . . . .  School Counsellor  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  allison .peace@smus  .ca
Gabrielle Emmet   . . . . . . . . . . .  School Counsellor  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  gabrielle  .emmet@smus  .ca
Attendance  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  tara .toller@smus  .ca   . . . . . . . . . . . . . . . . . . . . .  250-592-3549
Junior School Information  Phone: 250-598-3922, Fax: 250-592-0783
Becky Anderson   . . . . . . . . . . . .  Director of Junior School   . . . . . . . . . . . . . . . . . . . . . . . . . . .  becky  .anderson@smus  .ca
Nicole Tripp   . . . . . . . . . . . . . . . . .  Assistant Director of Junior School  . . . . . . . . . . . . . . . . .  nicole  .tripp@smus  .ca
Delina Squire  . . . . . . . . . . . . . . . .  Assistant to the Director of Junior School   . . . . . . . . .  delina .squire@smus  .ca
Marnie Caron  . . . . . . . . . . . . . . . .  School Counsellor  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  marnie  .caron@smus  .ca
Attendance  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  christine  .shewchuk@smus  .ca   . . . . . . . . . .  250-598-3922
Other
Keith Driscoll  . . . . . . . . . . . . . . . .  Director of Boarding and Student Life   . . . . . . . . . . . . .  keith .driscoll@smus  .ca  . . . . . . . . . . . . . . . . . .  250-886-4222
Denise Lamarche  . . . . . . . . . . .  Director of Academics   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  denise  .lamarche@smus  .ca
Lindsay Brooke   . . . . . . . . . . . . .  Director of Athletics  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  lindsay  .brooke@smus  .ca  . . . . . . . . . . . . . . . .  250-370-6131
Joanna Verano  . . . . . . . . . . . . . .  Annual Fund Manager  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  joanna .verano@smus  .ca
Shara Campsall   . . . . . . . . . . . . .  Director of Advancement   . . . . . . . . . . . . . . . . . . . . . . . . . .  shara .campsall@smus  .ca
Finance Department  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  studentaccounts@smus  .ca  . . . . . . . . . . . . .  250-370-6166
Privacy Office   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  privacy@smus  .ca 
Transportation Department  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  jody  .bright@smus  .ca  . . . . . . . . . . . . . . . . . . . .  250-370-6150
SMUS Parents’ Auxiliary  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  paraux@smus  .ca 
Campus Shop   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  uniforms  .smus  .calynne  .franklin@smus  .ca  250-370-6152
After School Care  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  250-883-7414
SMUS Camps  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  250-370-6117
House Staff
Tom Hollingworth  . . . . . . . . . .  Barnacle House  . . . . . . . . . . . . . . . . . . .  tom .hollingworth@smus  .ca   . . . . . . . . . . .  250-361-7406 250-370-6184
Evan Fryer   . . . . . . . . . . . . . . . . . . .  Bolton House  . . . . . . . . . . . . . . . . . . . . .  evan .fryer@smus  .ca   . . . . . . . . . . . . . . . . . . . .  250-896-6978 250-370-6185
David Kerr   . . . . . . . . . . . . . . . . . . .  Harvey House   . . . . . . . . . . . . . . . . . . . .  david  .kerr@smus  .ca   . . . . . . . . . . . . . . . . . . . .  250-508-5257 250-370-6186
Nikki Kaufmann   . . . . . . . . . . . .  Symons House   . . . . . . . . . . . . . . . . . . .  nikki .kaufmann@smus  .ca  . . . . . . . . . . . . . .  250-516-6943 250-370-6186
Elisha Gardiner   . . . . . . . . . . . . .  Timmis House  . . . . . . . . . . . . . . . . . . . .  elisha .gardiner@smus  .ca  . . . . . . . . . . . . . . .  778-977-2004 250-370-6185
Riley Doland   . . . . . . . . . . . . . . . .  Winslow House  . . . . . . . . . . . . . . . . . . .  riley .doland@smus  .ca   .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  778-533-1813 250-370-6184SCHOOL CONTACTS"
2,"SCHOOL YEAR DATES 2024-25 
for Parents/Guardians
Dates are subject to change. For updated information, please refer to the website (smus.ca/news/calendar)  
and communications from school Directors.
Monday, September 2 Labour Day Holiday  . Returning Grade 12 Boarders move in
Tuesday, September 3 New Boarders move in
Wednesday, September 4 Returning Boarders move in . Half day at Junior School
Thursday, September 5 First full day of classes at Senior and Middle Schools
Monday, September 30 School closed for National Day for Truth and Reconciliation
Friday, October 11 School closes at the end of the day for Thanksgiving Break 
Boarders depart for Thanksgiving Break
Tuesday, October 15 Boarders return from Thanksgiving Break
Wednesday, October 16 Classes resume
Friday, October 25 School closed for Faculty Professional Development Day
Friday, November 8 Remembrance Day Service – School closes at lunch: Boarders depart for the Mid-term Break
Saturday to Tuesday, November 9-12 School closed for Mid-term Break
Tuesday, November 12 Boarders return from Mid-term Break
Wednesday, November 13 Classes resume
Friday, December 13 School closes at the end of the day for the holidays  . 
Last day for boarders to depart for Winter Break
Sunday, January 5 Boarders return from Winter Break
Monday, January 6 Classes resume
Thursday, February 13 School closes at lunch . K to 12 Pro-D afternoon . Boarders depart for Family Day long weekend
Friday to Monday, February 14-17 School closed for Family Day long weekend
Monday, February 17 Boarders return from Family Day long weekend
Tuesday, February 18 Classes resume
Friday, March 14 School closes at the end of the day for Spring Break  . 
The last day for boarders to depart for Spring Break
Sunday, March 30 Boarders return from Spring Break
Monday, March 31 Classes resume
Thursday, April 17 School closes at the end of the day for Easter long weekend  . 
Boarding Houses will remain open for the Easter long weekend
Friday, April 18- Monday, April 21 School closed for the Easter long weekend
Tuesday, April 22 Classes resume
Friday, May 16 School closes at the end of the day for Victoria Day Holiday  . 
Boarders depart for Victoria Day long weekend
Tuesday, May 20 Boarders return from Victoria Day long weekend
Wednesday, May 21 Classes resume
Thursday, June 19 Grade 8-11 Boarders depart for the Summer Holiday
Thursday, June 19 and Friday, June 20 Grade 12 Graduation Ceremony, Closing Assemblies and Ceremonies for Middle and Junior 
schools, and Grade 12 Graduation Gala Dinner (All dates and times to be confirmed)
Saturday, June 21 Boarding closes for Summer Break
Please note that all Senior School students must be available until all their exams are completed. 
Travel arrangements should be made well in advance so students can attend important school time.
ABSENCES AND LATENESS  
Report absences before 8 am
Junior School 
Call 250-598-3922 
Email: christine  .shewchuk@smus  .ca 
(page 14)Middle School
Call 250-592-3549 
Email: tara .toller@smus  .ca 
(page 19)Senior School
Call 250-370-6133 
Email: srattendance@smus  .ca 
(page 26)
This publication was last updated: August 21, 2024 . All information is subject to change, and parents and students 
should continue to stay in contact with school directors and ensure their contact information is up to date  ."
3,"Student Accounts
Parents will receive an email each month notifying them that the 
monthly statements are available  . The detailed statements are 
located on the Parent Portal at smus  .ca/parentportal  . Payments 
are due 30 days from the statement date, with the exception of 
tuition due dates, which can be found on the Fee Schedule on 
the Parent Portal  . We thank you in advance for keeping accounts 
paid on time  . Please note that Finance Charges will be applied 
monthly to overdue balances  . Student Account payments can 
be remitted by the following methods:
• Personal Cheque (drawn on Canadian or US bank)
• Bank Draft or Money Order
• Bank Wire Transfer 
• Internet Banking Online Bill Payment (Canadian banks only)
• Credit Card Payments (Visa, Mastercard and American 
Express)
• Pre-Authorized Payments – forms available on the  
Parent Portal
If you have questions regarding student accounts, please 
feel welcome to contact the Finance department at 
studentaccounts@smus  .ca or 250-370-6166 .
Continuous Enrolment
We are confident that once a student joins SMUS, they will 
remain until graduation . Families are required to remit a tuition 
deposit annually for a following school year  . Families who wish 
to withdraw are asked to provide notice as early as possible and 
no later than the mid-February  . Late notice of withdrawal will be 
subject to the Student Withdrawal Policy  .Student Withdrawal Policy (Summary)
Your financial obligation to the school is for the full annual 
tuition and boarding fees as stated in the fee schedules and 
enrolment contract . In the event of withdrawal from the school 
(voluntary or requested) only a portion of the tuition fees will be 
refunded as follows:
Withdrawal Prior to the Start of the School Year
• A student that is withdrawn between mid-February and 
August 31 will receive a 60% refund/reduction of the full 
annual tuition and boarding fees  
net of any financial aid  .
Withdrawal During the School Year
• A student that is withdrawn between September 1 and 
December 31 will receive a 50% refund/reduction of the 
current year’s full annual tuition and boarding fees  .
• A student that is withdrawn between January 1 and 
March 31 will receive a 30% refund/reduction of the 
current year’s full tuition and boarding fees  .
• A student that is withdrawn between April 1 and June 30 
will receive no refund/reduction of the current year’s full 
annual tuition and boarding fees  .
Please note that the calculation of tuition and boarding fees is net 
of financial aid. Amounts owing will be due and payable within 
14 days of the date of withdrawal.
The full Student Withdrawal Policy is available on the Parent 
Portal  .
Tuition Fees
Tuition Fees for the 2025-26 school year will be available in 
January 2025 . A full schedule of your current fees can be found 
on the Parent Portal  .Billing, Tuition and Enrolment"
4,"St. Michaels University SchoolFamily Handbook 2024-25  |  ivBilling, Tuition and Enrolment iii
Student Accounts iii
Continuous Enrolment iii
Student Withdrawal Policy (Summary) iii
Tuition Fees iii
Introduction 1
Our Mission 1
Our Vision 1
Our Values 1
Indigenous Recognition Statement 1
Communications and Information Resources 2
Official Communications Channels 2
Website Links for Parents and Students 2
Personalized SMUS Calendar 2
SMUS Weekly and Newsletters 2
Lines of Communication – Questions and Issues 2
Concerns and Complaints Policy 3
Social Media 5
Parent Portal 5
SMUS Connect 5
REACH 5
Weather Closures 5
Transportation 6
Respecting Our Neighbours 6
Bicycles and Skateboards 6
School Bus 6
Academic Information 7
Our Learning Approach 7
Assessment Philosophy at SMUS 7
Communication of Student Learning 7
Learning Resource 8
Social and Emotional Wellness 8
Equity, Diversity and Inclusion 8
Chapel 8
Personal Counselling Program 9
Student Life 9
Campus Shop 9
School Uniform 9
Used Uniform Sales 9
Clothing Labels 9
Lost, Misplaced and Stolen Items 10
Lunches and Snacks 10
Responsible Network Use 10
Social Media Code of Conduct 10
Winter, Spring and Summer Camps 11
Parent Involvement 11
Volunteering and Fundraising 11
St . Michaels University School Society 12
Junior School Information 13
Academic Information 13
Drop-Off, Dismissal and Pick-Up 13
After-School Program 13
Absences and Lateness 14
Parent/Guardian Visitors and Student Sign-In/Sign-Out 14
Parents/Guardians as Partners 14
Adult Volunteers 14
Requests for Additional Leave From School 14
First Aid Room 14
Allergy Aware School 14
Cellphones 14
Communication of Student Learning 14
Student Agendas 15
Home Learning Policy 15
Extracurricular Clubs, Activities and Sports 15Table of Contents
Dress Code for Junior School Students 16
Junior School Uniform 16
Middle School Information 18
Welcome 18
School Values 18
Behaviour and Discipline 18
Peer Conflict, Mean Behaviour and Bullying 18
School Year Start-Up 18
Middle School Schedule 18
Drop-Off and Pick-Up 19
Absences and Lateness 19
Family Holidays 19
Timetables 19
Smartphones 19
Charges to Student Accounts 19
Communication of Student Learning  19
Teacher Advisor Group (TAG) 19
Homework Purpose and Policy 20
Student Agenda 20
SMUS Student Email Use Policy 20
Homework Club 20
Lockers 20
Executive Functioning and Library 20
Music 20
Outdoor Education 20
Co-curricular Athletic Program 21
Clubs and Councils 21
Service Days 21
Year-End Calendar and Events 21
Dress Code for Middle School Students 22
Dress and Grooming 22
Senior School Information 23
Drop-Off and Pick-Up 23
Parking 23
Absences and Lateness 23
Illnesses and Medical Appointments 24
Smartphones 24
Security of Personal Items 24
Communication of Student Learning 24
University Counselling Centre 25
Academic Advisors 25
The Snowden Library 25
Councils, Clubs and Activities 25
Advanced Placement 25
Senior School Workload Guidelines 26
Late Assessment Policy (Revised 2023) 26
Behaviour and Discipline 28
Dress Code for Senior School Students 29
Dress and Appearance 29
Boarding Community 30
Campus Life, House Allocation 
and Houseparents 30
Telephone Calls and Messages 30
Community Expectations 31
Behaviour and Discipline 32
Boarding Curriculum 33
Personal Effects 33
Leave Guidelines 35
Submitting Leave Requests - REACH 36
Services Available to Boarding Students 37
Student Safety and Privacy 40
Student Safety 40
Harassment and Abuse 40
Privacy Policy 40
Privacy Principles 40"
5,"St. Michaels University SchoolFamily Handbook 2024-25  |  1ST. MICHAELS UNIVERSITY SCHOOL (SMUS) sets high 
standards for its staff and students  . We offer a very active, 
enjoyable and rewarding life for those who appreciate the 
opportunity to stretch themselves academically, artistically, 
athletically and culturally  . A great deal of personal freedom 
and responsibility abounds, which satisfies the needs of our 
developing leaders of the future  . Being part of such a dynamic 
and successful institution is a privilege, and we expect everyone 
to contribute positively to the school  .
The school does not have a long list of rules, regulations or 
restrictions  . Our underlying philosophy is one that will develop 
courteous, responsible and caring young adults  . A basic rule 
of good manners is to never make personal remarks, unless 
complimentary, about other people  . Having gone through 
a door, students should look behind and hold the door if 
someone is following  . On meeting adults in a doorway or a 
staircase, it is customary for a student to step aside and allow 
the adults to pass  . On noticing visitors to the school, students 
are expected to ask if they need help and to take them to the 
appropriate place or person .
St . Michaels University School is not for those who need the 
security of rules backed by harsh sanctions or those who need 
discipline  . We expect our students to treat others as they 
would wish to be treated, to do nothing against the dictates of 
conscience and good sense, and to act at all times in a way that 
will do credit to themselves and the good name and reputation 
of the school  .Our Mission
Our school seeks the excellence in all of us, with passion and 
compassion . We are a community shaped by the pursuit of truth 
and goodness, providing outstanding preparation for life  .
Our Vision
To learn, to lead, to serve  .
Our Values
Respect | Courage | Honesty | Service
Indigenous Recognition Statement
One of the four Values of St . Michaels University School is 
respect . With this in mind, we acknowledge that our school 
rests in the heart of Straits Salish territory, a living culture with 
its own rites, ceremonies and unfolding history  . We honour the 
Esquimalt, Songhees and W _ SÁNEĆ peoples, whose homelands 
we share and whom we recognize as our neighbours  .
Learn more about how our school continues to honour our 
Indigenous Connections by visiting smus  .ca/discover/our-
school/indigenous-connections  .Introduction
"
6,"St. Michaels University SchoolFamily Handbook 2024-25  |  2There are many places for families to access information about 
what’s happening at the school  . We have gathered the key 
resources here to help you quickly find what’s most important 
to you  .
In addition to the resources below, there may be school-specific 
or grade-specific resources used by teachers to communicate 
with parents, including student agendas  .
Official Communications Channels
Families should be aware that official communications from 
St . Michaels University School will occur only through the 
following channels:
• Any communication from a faculty or staff member from  
a smus  .ca email address
• The SMUS Weekly newsletter
• The SMUS website: smus  .ca 
• Official social media accounts (@yoursmus on Facebook, 
Twitter and Instagram, and the school page on LinkedIn) .
Any other communication from staff or faculty outside of 
these channels should be regarded as unofficial and not 
representative of SMUS as a whole  .
Additional Information For Students
Students are not permitted to create websites or social media 
accounts with the SMUS name or crest, or any other identifier 
that may reasonably lead to a misunderstanding that the 
account or page is official or authorized  .Website Links for Parents and Students
Parents and students are encouraged to bookmark and regularly 
review the Links for Current Parents and Links for Current 
Students pages on the school website  . Here you will find timely 
information, as well as a link directory to key webpages and 
resources referenced in this handbook  .
Personalized SMUS Calendar
You are also encouraged to create and subscribe to a 
personalized school calendar in order to receive important and 
timely updates on the SMUS events that are important to you  . 
Visit smus  .ca/news/calendar for instructions on creating your 
SMUS calendar  .
SMUS Weekly and Newsletters
Parents and Senior School students will receive the SMUS 
Weekly on Friday afternoons throughout the school year  . This 
newsletter highlights important school updates and stories 
from the community, as well as upcoming events and resources  . 
Please ensure that you add theweekly@smus  .ca to your safe 
senders list . If you do not receive the SMUS Weekly, please 
contact communications@smus  .ca .
Parents can also expect to receive regular emails from school 
directors on information specific to their child’s school and 
grade, as well as a monthly newsletter from the Parents’ Auxiliary  .Communications and Information Resources"
7,"St. Michaels University SchoolFamily Handbook 2024-25  |  3Concerns and Complaints Policy
Concerns and Complaints Policy
Most concerns or complaints can be discussed verbally at point of contact or through email. Acknowledgment will be 
provided in a timely manner. If after dialog there is no agreed upon resolution, the concern/complaint should be 
presented in writing to:
The appropriate SMUS faculty leader responsible will aim to promptly address your concern. Often a meeting 
or phone conversation will be arranged. If there is no agreed upon resolution, the concern/complaint should 
be presented to the appropriate Director.
The concern or complaint will now be reviewed by the Director of Junior, or Middle, or Senior School, or 
Boarding Life, or Deputy Head of School. It will be designated informal or formal.
An informal concern will be conducted through meetings, discussions with faculty and staﬀ as arranged by the 
Director of Junior School, or Middle School, or Senior School, or Boarding Life, or Deputy Head of School.
A formal complaint will include details of the facts asserted and relied upon, and a statement of desired outcome. 
Acknowledgment will be provided in a timely manner. The complaint will be formally recorded and documented.
• Normally an interview will be arranged, sometimes including other appropriate staﬀ.
• The complaint will be researched and reviewed, and we will aim to provide a prompt response.
If there is still no agreed upon resolution, the formal complaint will be presented to: (see next page)
SMUS Concerns and Complaints Policy    |    May 2024 v1.3Junior School, Middle School, Senior School, Boarding
Junior School, Middle School, Senior School, BoardingSTEP
1
STEP
2
STEP
3Music
Ensemble Leader/
Music Teacher

Directors of Junior, Middle, Senior School, Boarding Life, Deputy Head of SchoolSports Team
CoachSchool
Discipline
Classroom
TeacherClassroom
Progress
TeacherBoarding Life
Senior
House ParentTrips
Trip Organizer

Head of
Music
Director of
Athletics
Assistant
Director
Director of
Academics
Director of
Boarding Life
Assistant
DirectorINFORMAL FORMAL
* Working days are de/f_ined as working weekdays while the school is in full session."
8,"St. Michaels University SchoolFamily Handbook 2024-25  |  4
Board of GovernorsAnonymousWhile the level of detail and reporting back may be necessarily more limited with Anonymous complaints, they will be
researched and acted upon as deemed necessary and in line with the nature of the complaint. If a complaint is related
to an employee, a record will be maintained with Human Resources.St. Michaels University School Concerns and Complaints Policy
• ...will be briefed on formal complaint. Supporting documentation will be presented, including a statement 
of preferred outcome.
• ...will oﬀer a meeting with the complainant.
• ...will commission appropriate research by e.g. conducting interviews with named faculty and/or students.
• ...may delegate an enquiry either internally or externally.
• ...may consult with school’s legal counsel.
 The formal complaint will be acknowledged as received within three (3) working days. We will strive 
to provide a progress report or conclusions in prompt manner.
After the conclusion of the formal complaints process (Steps 3 & 4), if the complaint has not been resolved 
to the reasonable satisfaction of the complainant and the complainant believes on reasonable grounds 
that the formal complaints process was not conducted fairly, the complaint can be referred to the SMUS 
Board of Governors at board@smus.ca:
• A detailed written account of the complaint including date and speci/f_ic details must be provided.
• There should be a statement of desired outcome.
The Board will acknowledge receipt of the oﬃcial complaint within three (3) working days. The Board will aim to reach 
and communicate a decision as promptly as possible. The conclusions of the Board are /f_inal. Thereafter, any person 
wishing to pursue an issue can use any of the following external channels:
• ISABC ombudsperson contact - elizabeth.moore@isabc.ca
• BC Professional Conduct Unit, about teacher professionalism - 778-572-3758
• Legal channels
SMUS Concerns and Complaints Policy    |    May 2024 v1.3End of the Formal Complaints ProcessSTEP
4
STEP
5 
After the conclusion to the formal complaints process (Step 3 & 4),
the Head of School’s conclusion will represent the end of the formal complaints process.
To be further escalated, the complaint would then be referred to the SMUS Board of Governors.No Agreed Resolution

Head of School and/or Deputy Head of School...FORMAL OFFICIAL"
9,"St. Michaels University SchoolFamily Handbook 2024-25  |  5Social Media
If you are a social media user, you are encouraged to follow 
and engage with the official SMUS social media accounts:
• Facebook – facebook  .com/yoursmus
• Instagram – instagram .com/yoursmus
• LinkedIn – linkedin .com/school/834086
• Twitter – twitter  .com/yoursmus
• YouTube – smustube  .ca
Parent Portal
The SMUS Parent Portal provides parents with customized and 
secure access to our School Data System (SDS) . Once logged 
in, you can access your child’s report cards, student account 
statements, your child’s health information, course selection 
information, and international trip information .
You can also change your child’s or your family’s personal 
information through the Parent Portal (e  .g . a change of address) .
Change of Address
To maintain school records, parents are required to 
immediately update any changes to their contact information .   
You can do this by logging into the Parent Portal of SDS at  
smus  .ca/parentportal and clicking on “Update My 
Information . ” Once you click on “Submit the Data Update 
Request,” the system automatically notifies the school’s Data 
and Finance departments of your new information, and the 
changes will be processed shortly afterward  . The school must 
also have current emergency names and contact numbers for 
each student . Please contact the Data Centre at 250-370-6156 
or datacentre@smus  .ca if you have questions  .SMUS Connect
SMUS Connect is an internal hub for our community  . Current 
parents are encouraged to register at smusconnect .com in order 
to find and communicate with other parents in their child’s 
graduation year  . SMUS Connect also offers students mentorship 
opportunities with our alumni network, and additional resources 
from our Parents’ Auxiliary  .
REACH
REACH is an electronic scheduling system that is used by our 
boarding community to manage leave requests when boarding 
students will be off-campus for overnight leave, or during long 
weekends and major school breaks  . Boarding parents can read 
more about this system on page 36 .
Weather Closures
Families seeking to determine if classes have been cancelled 
due to severe weather should check the school’s social media 
sites (Facebook, Instagram, Twitter) or website, listen to CFAX 
(AM 1070), The Q (FM 100 .3) or CBC Radio One (FM 90 .5), or 
watch CTV Vancouver Island  . We advise checking more than 
one source, in the event that a power failure has occurred that 
prevents updates on the website or prevents contact with radio 
and television stations  ."
