URL,Page Content
https://www.smus.ca/,"   Explore 
      When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. These cookies do not store directly personal information, but are based on uniquely identifying your browser and internet device. We respect your right to privacy and give you the choice not to allow some types of cookies. Change your default settings below to continue browsing this website.
     Where preparation for life nurtures strong, confident, purpose-driven leaders. Discover SMUS Located in Victoria, BC, St. Michaels University School is a Junior Kindergarten to Grade 12 boarding and day school that provides outstanding preparation for life. Junior Kindergarten to Grade 5 Grades 6 to 8 Grades 9 to 12 Grades 9 to 12 Admissions St. Michaels University School invites applications from both families in Victoria to our day program, as well as boarding applications from Canada and around the world. More about Admissions 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
https://www.smus.ca/admissions,"   Thank you for choosing to discover more about the excellence, passion and compassion that distinguishes us as one of Canada’s leading independent schools.  On behalf of the Admissions office, the faculty and staff of SMUS as well as our entire school community, I would like to extend a warm welcome to you and your family. Our website and our Admissions Portal make it easy for you and your family to get to know our school and complete the application process. A good first step is to review the Admissions section of this website to learn more about fees and how to apply as well as opportunities to meet staff and visit the school. The Admissions office is your first point of contact as you begin your journey with SMUS. We will help guide you through the application process and then provide you with all the assistance your family needs to make a successful transition to our school. Please contact our Admissions office with any questions you have.   If you are applying for Grade 12, please contact the Admissions office before starting an application. I look forward to meeting you and your family soon, - Alexis Lang Lunn, Director of Admissions We recommend to start the application process with our apply webpages, which provide an overview of the application process and links to key resources. If you are ready to begin your application, start by registering for an account using our Admissions Portal. All applications at SMUS are completed online. For families interested in summer programs, or short-term courses, information can be found in our External Programs section.  
      Join the Admissions office to learn more about our Junior, Middle and Senior Schools, as well as Boarding.
     Fees and Financial Support section Find out about costs and payment options for boarding students. Find out about costs and payment options for day students. SMUS offers a robust Financial Aid program to help offset the cost of tuition. SMUS offers a limited number of merit-based boarding scholarships.  
      SMUS provides additional information for families from specific countries. If your country is not listed, contact us and we would be happy to help.
     The Admissions office will provide you with help and assistance as you begin your journey with SMUS. You can schedule a visit to our Middle and Senior School campus. The Admissions office is your first point of contact for questions about the school and the application process. The Admissions office is a team of professionals with many years of admissions experience. See all admissions publications Learn more about our program for Kindergarten to Grade 5. Learn more about our program for Grades 6 to 8. Learn more about the Grade 9 to 12 program, in addition to Boarding at SMUS. 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
https://www.smus.ca/admissions/publications,"   If you are interested in learning more about our school, whether it be our Junior, Middle or Senior School, the programs offered, or the overall student experience, our viewbooks are a great place to start. You can read them online or download them and review at your own pace. Download an overview of our school with highlights from our current year and the graduating class of 2023. Learn more about the culture of excellence and joy of learning at the SMUS Junior School (Kindergarten to Grade 5). Learn more about the programs and supportive environment at the SMUS Middle School (Grades 6-8). Learn how the SMUS Senior School (Grades 9-12) prepares students for university and for life. 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
https://www.smus.ca/middle-school,"   The Middle School (Grades 6 to 8) program is designed to build core skills with an intentional focus on students' wellbeing as they transition into confident and self-aware young adults. Middle School is an important time in the lives of young learners. We recognize you're coming to us for the diversity of opportunities and experiences SMUS offers. In addition to providing an outstanding education, we are committed to nurturing your child's sense of curiosity and confidence to help them prepare for the learning to come at Senior School and in their post-secondary pursuits. I look forward to meeting you. If you have any questions at any point, please don't hesitate to contact the Admissions office. - Richard Brambley, Director of Middle School Middle School is when children depend on their parents less and gain an increasing sense of self, of strengths and weaknesses, and of their place in society. The Middle School at SMUS is designed to assist students as they go through this transition. In partnership with our parent community, we have deliberately created a school that nurtures our students and supports them in becoming accomplished, confident and empathetic young adults. About the Middle School Download the Middle School Viewbook  
      Learn more about the Middle School program at SMUS.
     
          Senior School
         
        Senior School 
       
        NEWS - June 13, 2024 
       
          Middle School
         
        Middle School 
       
        NEWS - June 6, 2024 
       
          Senior School
         
        Senior School 
       
        NEWS - May 28, 2024 
       One of the more unique programs at the SMUS Middle School is Exploratory. From woodworking to bicycle maintenance, Exploratory is an opportunity to get hands-on, learn practical life skills, and perhaps even develop a new passion along the way. Exploratory We place emphasis on developing character and values through leadership and service. Middle School can be a challenging time in the lives of young people, which is why we offer a range of student support. Discover more about life at the Middle School, including why it is a ""no phone zone."" Learn more about boarding at SMUS, which is available to Grade 8 students in the Middle School. 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
https://www.smus.ca/admissions/international,"   





            Schaffter Hall for music (left) is home to teaching and rehearsal rooms for band, choir, and strings.
           Our student community is truly global with more than 25 countries represented on campus. Vitejte! Bienvenue! Herzlich willkommen! Benvenuto! добро пожаловать! Bienvenidos! أهلا بك! 欢迎! ようこそ! 환영! Chào mừng! 欢迎! With almost 49 nationalities represented among our students, SMUS is a truly international community. We welcome students and families from every corner of the globe to join us for boarding.  This means SMUS students benefit from a cosmopolitan atmosphere on campus, which is supported by the large local population of Canadian students from Victoria, BC.  Our students say that SMUS is truly their home away from home! The Admissions office travels to many countries around the world to meet with families. We also host online webinars and other opportunities to meet staff and students. Learn more on the Admissions Events page. If your home country is not listed below, please contact us with any questions you have. We would be glad to help and welcome you to our international community! To help international families, we provide specific information for many countries.
If your country is not listed, please contact us – we would be glad to assist. Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more Learn more 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
https://www.smus.ca/admissions/contact,"   Our Admissions office is available to answer your questions and help you explore if SMUS is the right fit for your family. Thank your for considering St. Michaels University School. Please complete the inquiry form to ask a question and/or begin the application process. After submitting the inquiry form, you will receive instructions by email to set up an account and access the application directly. We would love to show you our campus at an Open House!  The next Open House will be on Friday, October 18, 2024.  Please click here for times and registration info.  Middle and Senior Schools
3400 Richmond Road
Victoria, BC
Canada
V8P 4P5 Junior School
820 Victoria Avenue
Victoria, BC
Canada
V8S 4N3 Toll-free in North America:
1-800-661-5199 If you are ready to have a more in-depth conversation with our team about Middle or Senior School, please call 250-592-2144 or email admissions@smus.ca for this opportunity. 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
https://www.smus.ca/junior-school,"   The Junior School (Junior Kindergarten to Grade 5) provides your child with the best possible start on their educational journey.  We recognize you're coming to us for a strong beginning for your child. Children are innately and naturally curious, and have a love of learning. From Junior Kindergarten all the way through the grades, we nurture and sustain that same level of joy and curiosity and desire for learning in your child.  We are intentional in allowing children to explore their world through core academic courses, as well as artistic, athletic, outdoor education, leadership and service opportunities. I look forward to meeting you and your family. If you have any questions at any point, please do not hesitate to contact the Admissions office.  - Becky Anderson, Director of Junior School We are a community that creates a culture of excellence, thinks critically and creatively, and is nurtured through supportive relationships. We are your partner in your child’s journey, and their joy, happiness and success is central to everything we do. About the Junior School Download the Junior School Viewbook Junior Kindergarten or Kindergarten are the recommended entry points for the SMUS Junior School. Only a limited number of spaces become available in Grades 1-5 and we therefore highly recommend planning to make Junior Kindergarten or Kindergarten your entry year to SMUS. Learn more about how to apply to our school on the Admissions section of our website. 
          Junior School
         
        Junior School 
       
        NEWS - August 31, 2024 
       
          Junior School
         
        Junior School 
       
        NEWS - August 26, 2024 
       
          Junior School
         
        Junior School 
       
        NEWS - June 13, 2024 
       The Imagination Lab is where curiosity meets creativity! It is stocked with a variety of materials and that can become anything in a child's mind. It is also a place where technology comes alive with green screens and claymation. It is one of many child-oriented spaces on campus intentionally designed to nurture their wonder, imagination and interests. Facilities and Spaces SMUS provides many opportunities for students to learn values, virtues and take on leadership roles. Children are cared for and fully supported at the Junior School in every aspect of their growth. The SMUS Junior School emphasizes the importance of play alongside many extracurricular opportunities. We recognize the importance of our partnership with parents in ensuring children are happy and successful at school. 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
https://www.smus.ca/senior-school,"   The Senior School (Grades 9 to 12) is recognized around the world for the quality of our academic program, in addition to a dynamic culture in athletics, arts, outdoor education, leadership and service. I'm pleased to introduce you to our Senior School program. As a high school student at SMUS, you will love being surrounded by students who are just as excited about being here as you are. Whether you're interested in academics, arts, athletics, outdoor education, leadership or service, you will find this community ready to support you on your own educational journey and get to know you on an individual basis. You can learn more about the Senior School and get a deep dive into the different subject areas in this section of the website. If you have any questions at any point, please don't hesitate to contact the Admissions office. - Eliot Anderson, Director of Senior School The No. 1 reason for choosing an independent school is to get a good education and St. Michaels University School is recognized nationally and internationally for the quality of our academic program. It's more than just a place to learn though. Joining SMUS is like joining a family and we think you will find your place here. About the Senior School Download the Senior School Viewbook 
 
          Senior School
         
        Senior School 
       
        NEWS - September 11, 2024 
       
          University Counselling
         
        University Counselling 
       
        NEWS - September 7, 2024 
       
          Boarding
         
        Boarding 
       
        NEWS - September 4, 2024 
       Whether you have a clear idea of your career goals or you are still trying to figure out your next steps, you will be glad to know SMUS has a dedicated University Counselling department that can help you achieve your ambitions. In 2021, SMUS graduates received 695 acceptances and received almost $4,000,000 in total scholarships offered from post-secondary universities and colleges. University Counselling We place emphasis on developing the whole student through leadership and service. Senior School is fun but it can sometimes be challenging. This is why we offer a range of support to our students. Discover more about life on campus, including dining and clubs and councils. About half of all Senior School students are boarders, which creates a dynamic international culture on campus. 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
http://docs.smus.ca/,"JavaScript is required. This web browser does not support JavaScript or JavaScript in this web browser is not enabled. To find out if your web browser supports JavaScript or to enable JavaScript, see web browser help. Click here for SMUS Password Management page"
https://www.smus.ca/campus-services,"   Learn more about the range of services offered to students and families on our campuses. One of the reasons why students and parents are attracted to St. Michaels University School is the range of services and opportunities offered on our campuses. The school is intentionally designed to be a 'one-stop shop', whereby everything students need to grow and be successful can be found in one place. Please use the menu, which is arranged alphabetically, to access more information about services. If you are unable to find the information you are looking for, please contact the school. A small number of our services are open to our wider community in Victoria, including our day camps, overnight camps, facility rentals, and other external programs. If you are unsure, please contact the school. Links to further resources and information is provided on specific Links For pages: 
      St. Michaels University School is an independent day and boarding school of 1,000 students from Junior Kindergarten to Grade 12 in Victoria, BC, Canada.
     Main Reception 3400 Richmond Road Victoria, BC, Canada, V8P 4P5 
          © St. Michaels University School
          
            Website Feedback
          
 We are a proud member of:   "
